site_catid,air_monitor,start_date,year,month,ozone_8hr_ppb,pm25_avg,weekday,monitor_lat,monitor_long,sfc_wx_station,upper_air_station,temp_f_max,temp_f_avg,winddir_mode,windspd_mph_med,wind_calm,precip_in_sum,rh_avg,dewpoint_f_avg,cloud_cover_avg,overcast_height_min
27-017-7416,Fond Du Lac,2013-04-01,2013,4,49,NaN,1,46.70527,-92.52377,COQ,KINL,32.17,23.49875,NW,12.405000000000001,0,0,45.75,4.835833333333333,0.13,4300
27-017-7416,Fond Du Lac,2013-04-01,2013,4,49,NaN,1,46.70527,-92.52377,COQ,KINL,32.15,23.467916666666667,NW,12.465,0,0,45.583333333333336,4.74375,0.13,4300
27-017-7416,Fond Du Lac,2013-04-02,2013,4,50,NaN,2,46.70527,-92.52377,COQ,KINL,34.32,25.321666666666665,NW,7.7,0.07142857142857142,0,44.958333333333336,4.849166666666666,0.01,4e4
27-017-7416,Fond Du Lac,2013-04-02,2013,4,50,NaN,2,46.70527,-92.52377,COQ,KINL,34.29,25.2925,NW,7.735,0.07142857142857142,0,44.708333333333336,4.735,0.01,4e4
27-017-7416,Fond Du Lac,2013-04-03,2013,4,56,NaN,3,46.70527,-92.52377,COQ,KINL,41.23,28.609583333333333,S,10.095,0.07142857142857142,0,46.708333333333336,9.318333333333333,0.1,7e3
27-017-7416,Fond Du Lac,2013-04-03,2013,4,56,NaN,3,46.70527,-92.52377,COQ,KINL,41.21,28.592916666666667,S,10.125,0.07142857142857142,0,46.416666666666664,9.17,0.1,7e3
27-017-7416,Fond Du Lac,2013-04-04,2013,4,50,NaN,4,46.70527,-92.52377,COQ,KINL,41.37,37.09583333333333,NW,9.895,0,0,52.5,20.0475,0.19,2700
27-017-7416,Fond Du Lac,2013-04-04,2013,4,50,NaN,4,46.70527,-92.52377,COQ,KINL,41.34,37.0775,NW,9.955,0,0,52.291666666666664,19.957083333333333,0.19,2700
27-017-7416,Fond Du Lac,2013-04-05,2013,4,46,NaN,5,46.70527,-92.52377,COQ,KINL,35.83,28.773333333333333,E,6.15,0.14285714285714285,0,55.208333333333336,14.269583333333333,0.32,900
27-017-7416,Fond Du Lac,2013-04-05,2013,4,46,NaN,5,46.70527,-92.52377,COQ,KINL,35.83,28.731666666666666,E,6.175,0.14285714285714285,0,55.208333333333336,14.207083333333333,0.32,900
